Lead ID,Location,College,Year of Study,Program Interest,Lead Source
LD904,Chandigarh,Shiv Nadar University,3rd,Data Science,Google Form
LD905,Ahmedabad,IISc Bangalore,3rd,Electric Vehicle,Google Form
LD906,Vadodara,VIT Vellore,3rd,AI,Facebook
LD907,Chandigarh,MIT Pune,2nd,AI,Instagram
LD908,Bhopal,Bharati Vidyapeeth,4th,Electric Vehicle,College Collaboration
LD909,Indore,IIT Delhi,2nd,Cyber Security,Instagram
LD910,Vadodara,MIT Pune,1st,Robotics,Mass-Mailing
LD911,Pune,Jamia Millia Islamia,3rd,Electric Vehicle,College Collaboration
LD912,Ahmedabad,Shivaji University,3rd,AI,Mass-Mailing
LD913,Bhopal,NIT Trichy,2nd,AI,Email
LD914,Surat,XYZ University,2nd,Robotics,Google Form
LD915,Nagpur,SP College,4th,Electric Vehicle,Google Form
LD916,Vadodara,IISc Bangalore,1st,AI,Referral
LD917,Kolkata,MIT Pune,1st,Electric Vehicle,Instagram
LD918,Trivandrum,IIT Delhi,3rd,Machine Learning,WhatsApp
LD919,Ahmedabad,NIT Trichy,3rd,Machine Learning,WhatsApp
LD920,Surat,Bharati Vidyapeeth,3rd,Electric Vehicle,LinkedIn
LD921,Bangalore,Manipal University,3rd,Data Science,Email
LD922,Chandigarh,University of Delhi,3rd,Cloud Computing,LinkedIn
LD923,Patna,Amity University,4th,Electric Vehicle,Google Form
LD924,Bangalore,ABC Institute,3rd,Data Science,College Collaboration
LD925,Delhi,University of Delhi,1st,Cloud Computing,Instagram
LD926,Bhopal,VIT Vellore,4th,Data Science,Facebook
LD927,Kolkata,Bharati Vidyapeeth,4th,Robotics,WhatsApp
LD928,Chennai,Shiv Nadar University,1st,Cloud Computing,College Collaboration
LD929,Hyderabad,XYZ University,2nd,Cloud Computing,Email
LD930,Delhi,ABC Institute,4th,Data Science,Instagram
LD931,Delhi,SP College,1st,Cyber Security,LinkedIn
LD932,Vadodara,ABC Institute,4th,Cyber Security,Referral
LD933,Hyderabad,IIT Delhi,4th,Cloud Computing,Google Form
LD934,Indore,IISc Bangalore,3rd,Electric Vehicle,WhatsApp
LD935,Vadodara,SRM University,4th,Data Science,College Collaboration
LD936,Patna,XYZ University,2nd,Cloud Computing,Instagram
LD937,Hyderabad,ABC Institute,1st,Robotics,Mass-Mailing
LD938,Chennai,Jadavpur University,4th,Data Science,Mass-Mailing
LD939,Chennai,IISc Bangalore,3rd,AI,LinkedIn
LD940,Bangalore,University of Delhi,1st,AI,Instagram
LD941,Jaipur,Amity University,3rd,Cyber Security,Google Form
LD942,Jaipur,Amity University,1st,Electric Vehicle,Email
LD943,Kolkata,NIT Trichy,2nd,Machine Learning,Email
LD944,Nagpur,Shivaji University,3rd,Data Science,LinkedIn
LD945,Bhopal,Jadavpur University,3rd,AI,Referral
LD946,Bangalore,Jadavpur University,3rd,Cloud Computing,WhatsApp
LD947,Kolkata,Jadavpur University,4th,AI,WhatsApp
LD948,Nagpur,IIT Delhi,3rd,Machine Learning,Google Form
LD949,Kolkata,XYZ University,2nd,Data Science,Google Form
LD950,Mumbai,NIT Trichy,3rd,Cyber Security,WhatsApp
LD951,Visakhapatnam,IIT Delhi,3rd,AI,College Collaboration
LD952,Indore,University of Delhi,1st,Cyber Security,Email
LD953,Vadodara,Shiv Nadar University,2nd,Cloud Computing,Google Form
LD954,Surat,Amity University,3rd,Electric Vehicle,Instagram
LD955,Kolkata,Jadavpur University,4th,Data Science,WhatsApp
LD956,Ahmedabad,Amity University,1st,Robotics,WhatsApp
LD957,Pune,Shivaji University,2nd,Machine Learning,WhatsApp
LD958,Jaipur,Manipal University,4th,AI,Referral
LD959,Pune,Manipal University,2nd,Cyber Security,Mass-Mailing
LD960,Indore,BITS Pilani,3rd,Machine Learning,Facebook
LD961,Pune,Jadavpur University,3rd,Cloud Computing,Instagram
LD962,Lucknow,VIT Vellore,3rd,Machine Learning,Google Form
LD963,Hyderabad,Jamia Millia Islamia,1st,Electric Vehicle,College Collaboration
LD964,Coimbatore,XYZ University,3rd,AI,Email
LD965,Ahmedabad,IIT Bombay,2nd,Electric Vehicle,Email
LD966,Bhopal,SRM University,3rd,Electric Vehicle,Instagram
LD967,Chandigarh,Jamia Millia Islamia,2nd,Cloud Computing,Google Form
LD968,Indore,XYZ University,3rd,Robotics,College Collaboration
LD969,Chennai,University of Delhi,4th,Machine Learning,College Collaboration
LD970,Bangalore,SP College,2nd,AI,College Collaboration
LD971,Patna,BITS Pilani,3rd,AI,Referral
LD972,Ahmedabad,VIT Vellore,2nd,Cyber Security,Instagram
LD973,Coimbatore,Shivaji University,1st,Cloud Computing,Google Form
LD974,Trivandrum,NIT Trichy,3rd,Data Science,Facebook
LD975,Indore,NIT Warangal,4th,Cyber Security,Referral
LD976,Chandigarh,ABC Institute,1st,Data Science,WhatsApp
LD977,Nagpur,University of Delhi,3rd,AI,College Collaboration
LD978,Ahmedabad,NIT Trichy,4th,Electric Vehicle,LinkedIn
LD979,Bangalore,MIT Pune,2nd,Data Science,Mass-Mailing
LD980,Indore,Jadavpur University,4th,Machine Learning,Google Form
LD981,Delhi,XYZ University,1st,AI,Instagram
LD982,Chandigarh,ABC Institute,3rd,Cloud Computing,LinkedIn
LD983,Trivandrum,Shivaji University,4th,Cyber Security,WhatsApp
LD984,Ahmedabad,SRM University,3rd,AI,Referral
LD985,Surat,Jadavpur University,2nd,AI,Email
LD986,Surat,Bharati Vidyapeeth,1st,Machine Learning,Email
LD987,Indore,Manipal University,2nd,AI,Mass-Mailing
LD988,Bhopal,MIT Pune,4th,Robotics,Facebook
LD989,Patna,SRM University,3rd,Machine Learning,Email
LD990,Nagpur,XYZ University,4th,Cloud Computing,College Collaboration
LD991,Chennai,Shivaji University,4th,Cloud Computing,WhatsApp
LD992,Lucknow,NIT Warangal,4th,Robotics,LinkedIn
LD993,Pune,NIT Warangal,4th,Data Science,WhatsApp
LD994,Jaipur,NIT Trichy,4th,Robotics,Facebook
LD995,Chandigarh,IIT Bombay,1st,Machine Learning,WhatsApp
LD996,Bhopal,NIT Trichy,3rd,Machine Learning,WhatsApp
LD997,Patna,SP College,2nd,AI,Google Form
LD998,Lucknow,Shivaji University,3rd,Robotics,Google Form
LD999,Chandigarh,Amity University,4th,Cloud Computing,Facebook
LD1000,Hyderabad,Manipal University,3rd,Robotics,Google Form
LD1001,Kolkata,Manipal University,2nd,Cyber Security,Facebook
LD1002,Kolkata,SP College,3rd,Cloud Computing,Instagram
LD1003,Bangalore,VIT Vellore,3rd,Robotics,Mass-Mailing
LD1004,Hyderabad,NIT Trichy,2nd,Electric Vehicle,College Collaboration
LD1005,Chennai,IISc Bangalore,2nd,Electric Vehicle,Email
LD1006,Hyderabad,NIT Trichy,1st,Electric Vehicle,Google Form
LD1007,Indore,Shiv Nadar University,3rd,Electric Vehicle,Facebook
LD1008,Nagpur,IIT Bombay,1st,AI,College Collaboration
LD1009,Chandigarh,VIT Vellore,3rd,AI,Referral
LD1010,Mumbai,IIT Bombay,3rd,AI,Email
LD1011,Chennai,Amity University,4th,Machine Learning,WhatsApp
LD1012,Surat,ABC Institute,2nd,Robotics,LinkedIn
LD1013,Vadodara,NIT Warangal,4th,Data Science,LinkedIn
LD1014,Trivandrum,ABC Institute,4th,Cyber Security,Google Form
LD1015,Pune,VIT Vellore,4th,Cloud Computing,Facebook
LD1016,Indore,IISc Bangalore,1st,Machine Learning,Instagram
LD1017,Bhopal,SP College,4th,Cloud Computing,LinkedIn
LD1018,Delhi,MIT Pune,3rd,Cyber Security,Google Form
LD1019,Trivandrum,VIT Vellore,4th,Data Science,WhatsApp
LD1020,Chandigarh,MIT Pune,4th,Electric Vehicle,Facebook
LD1021,Ahmedabad,Bharati Vidyapeeth,1st,AI,Instagram
LD1022,Chandigarh,NIT Warangal,3rd,Data Science,Google Form
LD1023,Patna,Shivaji University,4th,Electric Vehicle,WhatsApp
LD1024,Hyderabad,Jadavpur University,3rd,Data Science,Google Form
LD1025,Kolkata,SP College,4th,Cyber Security,Facebook
LD1026,Bhopal,XYZ University,4th,Machine Learning,LinkedIn
LD1027,Ahmedabad,IIT Bombay,4th,Cyber Security,LinkedIn
LD1028,Pune,XYZ University,2nd,Machine Learning,WhatsApp
LD1029,Patna,SRM University,4th,Cyber Security,Google Form
LD1030,Ahmedabad,University of Delhi,3rd,AI,Mass-Mailing
LD1031,Indore,SP College,3rd,Cyber Security,Email
LD1032,Vadodara,Amity University,4th,Robotics,Facebook
LD1033,Hyderabad,IIT Delhi,2nd,Electric Vehicle,Instagram
LD1034,Hyderabad,Jamia Millia Islamia,3rd,AI,Email
LD1035,Kolkata,Manipal University,4th,Data Science,Facebook
LD1036,Patna,IIT Delhi,4th,Electric Vehicle,College Collaboration
LD1037,Indore,MIT Pune,4th,Electric Vehicle,WhatsApp
LD1038,Jaipur,Bharati Vidyapeeth,3rd,Machine Learning,LinkedIn
LD1039,Bhopal,IIT Bombay,2nd,Robotics,Mass-Mailing
LD1040,Bhopal,SRM University,2nd,Data Science,Instagram
LD1041,Bhopal,Shivaji University,3rd,Cloud Computing,Facebook
LD1042,Kolkata,SRM University,3rd,Cloud Computing,Instagram
LD1043,Surat,BITS Pilani,4th,Robotics,Google Form
LD1044,Vadodara,IIT Delhi,4th,Cyber Security,Email
LD1045,Jaipur,Bharati Vidyapeeth,3rd,Data Science,Facebook
LD1046,Ahmedabad,XYZ University,1st,Data Science,LinkedIn
LD1047,Lucknow,SRM University,4th,Robotics,Instagram
LD1048,Bhopal,IIT Delhi,3rd,Data Science,WhatsApp
LD1049,Pune,ABC Institute,2nd,Robotics,Facebook
LD1050,Lucknow,Jamia Millia Islamia,3rd,Robotics,Mass-Mailing
LD1051,Jaipur,University of Delhi,1st,Robotics,College Collaboration
LD1052,Coimbatore,VIT Vellore,3rd,Robotics,College Collaboration
LD1053,Kolkata,IISc Bangalore,3rd,Electric Vehicle,College Collaboration
LD1054,Trivandrum,Shiv Nadar University,2nd,Cyber Security,Facebook
LD1055,Hyderabad,Jadavpur University,1st,Electric Vehicle,Facebook
LD1056,Hyderabad,IISc Bangalore,2nd,Data Science,Referral
LD1057,Ahmedabad,IIT Delhi,1st,Machine Learning,Mass-Mailing
LD1058,Kolkata,IIT Bombay,2nd,Robotics,Google Form
LD1059,Pune,VIT Vellore,3rd,Cloud Computing,WhatsApp
LD1060,Surat,XYZ University,1st,Cyber Security,Referral
LD1061,Pune,ABC Institute,3rd,Robotics,Google Form
LD1062,Chandigarh,IIT Bombay,2nd,AI,Mass-Mailing
LD1063,Chandigarh,SP College,4th,Cloud Computing,Referral
LD1064,Trivandrum,BITS Pilani,4th,Electric Vehicle,Mass-Mailing
LD1065,Nagpur,Bharati Vidyapeeth,2nd,Cyber Security,LinkedIn
LD1066,Jaipur,MIT Pune,4th,Electric Vehicle,Google Form
LD1067,Trivandrum,Jadavpur University,4th,Cloud Computing,Google Form
LD1068,Kolkata,University of Delhi,1st,Data Science,Google Form
LD1069,Jaipur,VIT Vellore,1st,Robotics,Email
LD1070,Lucknow,Manipal University,3rd,Robotics,LinkedIn
LD1071,Hyderabad,BITS Pilani,2nd,Machine Learning,College Collaboration
LD1072,Vadodara,NIT Trichy,3rd,Cloud Computing,WhatsApp
LD1073,Bangalore,MIT Pune,3rd,Machine Learning,LinkedIn
LD1074,Visakhapatnam,ABC Institute,2nd,AI,Mass-Mailing
LD1075,Kolkata,IIT Bombay,2nd,Cloud Computing,WhatsApp
LD1076,Bangalore,Jadavpur University,2nd,Data Science,Instagram
LD1077,Indore,NIT Trichy,2nd,Machine Learning,Referral
LD1078,Pune,SRM University,4th,Cloud Computing,College Collaboration
LD1079,Chennai,Bharati Vidyapeeth,4th,Cloud Computing,WhatsApp
LD1080,Coimbatore,NIT Warangal,2nd,Machine Learning,Instagram
LD1081,Vadodara,Amity University,4th,Electric Vehicle,Referral
LD1082,Visakhapatnam,Shiv Nadar University,4th,Cyber Security,WhatsApp
LD1083,Bangalore,ABC Institute,3rd,AI,Referral
LD1084,Chandigarh,IISc Bangalore,3rd,Machine Learning,Email
LD1085,Vadodara,Shiv Nadar University,2nd,Robotics,Referral
LD1086,Jaipur,MIT Pune,4th,Robotics,College Collaboration
LD1087,Visakhapatnam,SP College,1st,Data Science,Email
LD1088,Ahmedabad,Jadavpur University,2nd,AI,Mass-Mailing
LD1089,Lucknow,XYZ University,3rd,AI,Instagram
LD1090,Hyderabad,VIT Vellore,2nd,Cloud Computing,Mass-Mailing
LD1091,Bangalore,Amity University,3rd,Machine Learning,Mass-Mailing
LD1092,Jaipur,Shivaji University,1st,Robotics,LinkedIn
LD1093,Mumbai,ABC Institute,4th,Data Science,Referral
LD1094,Jaipur,IIT Delhi,1st,Cyber Security,Email
LD1095,Lucknow,Jadavpur University,2nd,AI,Google Form
LD1096,Coimbatore,Manipal University,3rd,Cloud Computing,Mass-Mailing
LD1097,Coimbatore,SP College,3rd,Data Science,Instagram
LD1098,Chennai,NIT Trichy,1st,Electric Vehicle,Instagram
LD1099,Kolkata,NIT Warangal,1st,Cloud Computing,Email
LD1100,Indore,BITS Pilani,2nd,Cyber Security,College Collaboration
LD1101,Kolkata,ABC Institute,2nd,Cloud Computing,College Collaboration
LD1102,Trivandrum,SRM University,1st,Machine Learning,Google Form
LD1103,Indore,Amity University,1st,AI,Referral
LD1104,Lucknow,Jamia Millia Islamia,1st,Data Science,WhatsApp
LD1105,Patna,NIT Warangal,2nd,Machine Learning,WhatsApp
LD1106,Delhi,IISc Bangalore,2nd,Data Science,WhatsApp
LD1107,Pune,University of Delhi,2nd,Machine Learning,LinkedIn
LD1108,Trivandrum,Shiv Nadar University,1st,Cloud Computing,Referral
LD1109,Pune,Shivaji University,4th,AI,Mass-Mailing
LD1110,Bhopal,ABC Institute,1st,Cloud Computing,Facebook
LD1111,Jaipur,Bharati Vidyapeeth,4th,Robotics,College Collaboration
LD1112,Coimbatore,IIT Bombay,3rd,AI,Mass-Mailing
LD1113,Delhi,Shivaji University,4th,Cyber Security,Referral
LD1114,Pune,VIT Vellore,1st,Machine Learning,WhatsApp
LD1115,Bhopal,VIT Vellore,3rd,Machine Learning,Instagram
LD1116,Bhopal,IIT Delhi,1st,Cyber Security,Mass-Mailing
LD1117,Chennai,Shiv Nadar University,2nd,Data Science,Instagram
LD1118,Trivandrum,SRM University,2nd,Machine Learning,Google Form
LD1119,Mumbai,IIT Bombay,1st,Cloud Computing,Referral
LD1120,Delhi,NIT Warangal,3rd,AI,Referral
LD1121,Chennai,Shivaji University,3rd,Data Science,Google Form
LD1122,Delhi,IIT Delhi,1st,AI,Google Form
LD1123,Pune,IISc Bangalore,2nd,Cloud Computing,Email
LD1124,Bangalore,MIT Pune,4th,Robotics,Email
LD1125,Bangalore,Amity University,4th,Electric Vehicle,Google Form
LD1126,Nagpur,IIT Bombay,1st,Data Science,Google Form
LD1127,Hyderabad,Jamia Millia Islamia,3rd,Cyber Security,WhatsApp
LD1128,Chandigarh,Jamia Millia Islamia,2nd,Cloud Computing,Referral
LD1129,Visakhapatnam,Jamia Millia Islamia,1st,AI,WhatsApp
LD1130,Chennai,IIT Delhi,1st,Cloud Computing,Facebook
LD1131,Ahmedabad,IISc Bangalore,3rd,Cyber Security,LinkedIn
LD1132,Jaipur,Shivaji University,1st,Cloud Computing,Google Form
LD1133,Ahmedabad,NIT Warangal,4th,Machine Learning,Facebook
LD1134,Chennai,University of Delhi,2nd,AI,Instagram
LD1135,Delhi,Bharati Vidyapeeth,4th,Machine Learning,LinkedIn
LD1136,Mumbai,IISc Bangalore,2nd,Data Science,LinkedIn
LD1137,Ahmedabad,MIT Pune,4th,Cyber Security,WhatsApp
LD1138,Bhopal,IIT Delhi,3rd,Cloud Computing,Facebook
LD1139,Mumbai,Manipal University,1st,Cyber Security,Google Form
LD1140,Indore,IIT Delhi,4th,Electric Vehicle,WhatsApp
LD1141,Pune,University of Delhi,4th,Data Science,Email
LD1142,Nagpur,IIT Bombay,3rd,Machine Learning,Google Form
LD1143,Bangalore,NIT Warangal,1st,Robotics,WhatsApp
LD1144,Vadodara,SRM University,4th,Robotics,Email
LD1145,Lucknow,MIT Pune,4th,Electric Vehicle,Google Form
LD1146,Hyderabad,Amity University,4th,Cloud Computing,Referral
LD1147,Bangalore,XYZ University,1st,Cyber Security,Referral
LD1148,Coimbatore,NIT Trichy,4th,Cyber Security,Mass-Mailing
LD1149,Lucknow,ABC Institute,3rd,Cloud Computing,Email
LD1150,Pune,IIT Bombay,3rd,Electric Vehicle,LinkedIn
LD1151,Mumbai,IISc Bangalore,3rd,AI,LinkedIn
LD1152,Hyderabad,BITS Pilani,1st,AI,College Collaboration
LD1153,Visakhapatnam,Jadavpur University,2nd,Robotics,Facebook
LD1154,Jaipur,BITS Pilani,1st,Electric Vehicle,Google Form
LD1155,Kolkata,XYZ University,4th,Cyber Security,Instagram
LD1156,Trivandrum,MIT Pune,1st,AI,Instagram
LD1157,Kolkata,Shiv Nadar University,1st,AI,Instagram
LD1158,Pune,Shiv Nadar University,2nd,Robotics,Mass-Mailing
LD1159,Lucknow,SP College,4th,Electric Vehicle,Facebook
LD1160,Bangalore,ABC Institute,4th,Cyber Security,Facebook
LD1161,Delhi,XYZ University,3rd,Cloud Computing,Facebook
LD1162,Kolkata,SRM University,1st,Electric Vehicle,WhatsApp
LD1163,Patna,XYZ University,2nd,Robotics,Email
LD1164,Jaipur,SRM University,2nd,Cloud Computing,Facebook
LD1165,Chandigarh,IIT Delhi,2nd,Electric Vehicle,Google Form
LD1166,Coimbatore,Jadavpur University,2nd,Electric Vehicle,WhatsApp
LD1167,Jaipur,NIT Warangal,3rd,Data Science,Email
LD1168,Jaipur,SP College,2nd,AI,LinkedIn
LD1169,Bhopal,Shiv Nadar University,4th,Data Science,LinkedIn
LD1170,Nagpur,BITS Pilani,4th,Data Science,College Collaboration
LD1171,Coimbatore,MIT Pune,1st,Machine Learning,Instagram
LD1172,Vadodara,Jadavpur University,2nd,Robotics,LinkedIn
LD1173,Kolkata,ABC Institute,2nd,AI,LinkedIn
LD1174,Visakhapatnam,NIT Trichy,3rd,Robotics,Google Form
LD1175,Bangalore,Amity University,4th,Machine Learning,Instagram
LD1176,Surat,MIT Pune,1st,AI,LinkedIn
LD1177,Coimbatore,University of Delhi,3rd,AI,Mass-Mailing
LD1178,Indore,IIT Delhi,3rd,Data Science,LinkedIn
LD1179,Ahmedabad,Amity University,4th,Machine Learning,Facebook
LD1180,Jaipur,Manipal University,4th,Data Science,Referral
LD1181,Lucknow,NIT Trichy,2nd,AI,Google Form
LD1182,Trivandrum,MIT Pune,1st,Machine Learning,Google Form
LD1183,Indore,Jamia Millia Islamia,1st,Machine Learning,Facebook
LD1184,Lucknow,BITS Pilani,2nd,Cloud Computing,Mass-Mailing
LD1185,Indore,Shivaji University,4th,Data Science,Referral
LD1186,Mumbai,Shivaji University,4th,Cloud Computing,WhatsApp
LD1187,Nagpur,Amity University,2nd,AI,Instagram
LD1188,Jaipur,IISc Bangalore,4th,AI,Google Form
LD1189,Kolkata,NIT Trichy,3rd,Cyber Security,LinkedIn
LD1190,Coimbatore,University of Delhi,1st,Machine Learning,Mass-Mailing
LD1191,Nagpur,NIT Trichy,4th,Data Science,Mass-Mailing
LD1192,Ahmedabad,University of Delhi,4th,Electric Vehicle,Referral
LD1193,Trivandrum,ABC Institute,4th,Data Science,College Collaboration
LD1194,Pune,Shiv Nadar University,2nd,Electric Vehicle,Google Form
LD1195,Visakhapatnam,University of Delhi,3rd,Data Science,Referral
LD1196,Jaipur,BITS Pilani,3rd,Machine Learning,College Collaboration
LD1197,Lucknow,Manipal University,2nd,AI,WhatsApp
LD1198,Nagpur,University of Delhi,1st,Cyber Security,Instagram
LD1199,Trivandrum,NIT Trichy,2nd,Data Science,Facebook
LD1200,Trivandrum,SP College,1st,Electric Vehicle,Referral
LD1201,Delhi,Shivaji University,1st,Cloud Computing,Mass-Mailing
LD1202,Visakhapatnam,Shivaji University,1st,Data Science,Facebook
LD1203,Visakhapatnam,IISc Bangalore,2nd,Data Science,Email
LD1204,Trivandrum,BITS Pilani,2nd,Cloud Computing,Mass-Mailing
LD1205,Bangalore,VIT Vellore,4th,Robotics,Facebook
LD1206,Kolkata,SP College,3rd,Machine Learning,Mass-Mailing
LD1207,Indore,NIT Trichy,3rd,Machine Learning,Mass-Mailing
LD1208,Bangalore,IIT Bombay,4th,Machine Learning,Email
LD1209,Chennai,University of Delhi,2nd,Machine Learning,WhatsApp
LD1210,Bangalore,Amity University,4th,Cyber Security,Facebook
LD1211,Trivandrum,SP College,3rd,Cyber Security,College Collaboration
LD1212,Surat,Jadavpur University,3rd,Robotics,LinkedIn
LD1213,Mumbai,SRM University,1st,Cloud Computing,Facebook
LD1214,Visakhapatnam,SP College,2nd,Cyber Security,Referral
LD1215,Kolkata,MIT Pune,4th,Machine Learning,Facebook
LD1216,Patna,Bharati Vidyapeeth,2nd,Cyber Security,WhatsApp
LD1217,Chennai,Manipal University,4th,Data Science,Google Form
LD1218,Jaipur,IIT Delhi,4th,Electric Vehicle,Mass-Mailing
LD1219,Coimbatore,SP College,1st,Robotics,Google Form
LD1220,Pune,XYZ University,2nd,Data Science,College Collaboration
LD1221,Coimbatore,SP College,3rd,Machine Learning,College Collaboration
LD1222,Nagpur,Amity University,1st,Cloud Computing,Instagram
LD1223,Jaipur,NIT Trichy,3rd,Robotics,Referral
LD1224,Ahmedabad,SP College,1st,Robotics,College Collaboration
LD1225,Kolkata,Jamia Millia Islamia,2nd,Electric Vehicle,Referral
LD1226,Chennai,SP College,3rd,Cyber Security,Email
LD1227,Ahmedabad,Shiv Nadar University,2nd,Electric Vehicle,Referral
LD1228,Visakhapatnam,IIT Bombay,4th,Cyber Security,Referral
LD1229,Mumbai,SRM University,2nd,Data Science,Email
LD1230,Nagpur,Bharati Vidyapeeth,4th,Cloud Computing,Mass-Mailing
LD1231,Bangalore,MIT Pune,4th,Cyber Security,Email
LD1232,Indore,IISc Bangalore,4th,Machine Learning,LinkedIn
LD1233,Hyderabad,VIT Vellore,3rd,Machine Learning,College Collaboration
LD1234,Bangalore,IIT Delhi,4th,Robotics,WhatsApp
LD1235,Patna,IISc Bangalore,3rd,AI,Google Form
LD1236,Indore,Amity University,4th,AI,Mass-Mailing
LD1237,Nagpur,NIT Trichy,1st,Robotics,Facebook
LD1238,Ahmedabad,NIT Trichy,4th,Machine Learning,Mass-Mailing
LD1239,Hyderabad,University of Delhi,3rd,AI,College Collaboration
LD1240,Mumbai,NIT Warangal,3rd,Electric Vehicle,College Collaboration
LD1241,Indore,MIT Pune,4th,Cyber Security,Facebook
LD1242,Surat,SP College,4th,Robotics,Mass-Mailing
LD1243,Bangalore,Shivaji University,3rd,Cyber Security,LinkedIn
LD1244,Kolkata,ABC Institute,1st,Data Science,WhatsApp
LD1245,Pune,MIT Pune,4th,Robotics,Instagram
LD1246,Lucknow,Jamia Millia Islamia,4th,Machine Learning,Email
LD1247,Indore,IIT Bombay,4th,Machine Learning,Facebook
LD1248,Vadodara,IISc Bangalore,1st,Cyber Security,Facebook
LD1249,Delhi,VIT Vellore,2nd,Data Science,Email
LD1250,Patna,BITS Pilani,1st,Data Science,College Collaboration
LD1251,Kolkata,MIT Pune,1st,Robotics,Referral
LD1252,Nagpur,XYZ University,3rd,Cyber Security,Instagram
LD1253,Delhi,NIT Warangal,4th,Machine Learning,Instagram
LD1254,Chennai,VIT Vellore,1st,Data Science,LinkedIn
LD1255,Bangalore,SRM University,3rd,Cyber Security,Mass-Mailing
LD1256,Surat,BITS Pilani,3rd,Cloud Computing,Facebook
LD1257,Coimbatore,Shiv Nadar University,4th,Electric Vehicle,LinkedIn
LD1258,Chandigarh,Jamia Millia Islamia,1st,Electric Vehicle,Referral
LD1259,Pune,XYZ University,3rd,Machine Learning,WhatsApp
LD1260,Chennai,University of Delhi,3rd,Cyber Security,Mass-Mailing
LD1261,Chennai,Bharati Vidyapeeth,4th,Robotics,College Collaboration
LD1262,Lucknow,IIT Delhi,3rd,Cyber Security,Email
LD1263,Hyderabad,NIT Warangal,4th,Cloud Computing,Instagram
LD1264,Delhi,VIT Vellore,2nd,AI,Instagram
LD1265,Surat,NIT Trichy,2nd,Electric Vehicle,WhatsApp
LD1266,Surat,BITS Pilani,3rd,Data Science,Google Form
LD1267,Lucknow,Manipal University,1st,Cloud Computing,Facebook
LD1268,Surat,Bharati Vidyapeeth,1st,AI,Referral
LD1269,Ahmedabad,Shiv Nadar University,4th,Data Science,LinkedIn
LD1270,Indore,SP College,1st,Cloud Computing,College Collaboration
LD1271,Mumbai,Shivaji University,4th,Data Science,Mass-Mailing
LD1272,Kolkata,Manipal University,1st,Robotics,Instagram
LD1273,Chandigarh,SP College,4th,Cloud Computing,Facebook
LD1274,Mumbai,IISc Bangalore,2nd,Machine Learning,Instagram
LD1275,Vadodara,Jadavpur University,2nd,Machine Learning,Instagram
LD1276,Indore,Shivaji University,4th,Robotics,College Collaboration
LD1277,Surat,SRM University,2nd,Cloud Computing,Referral
LD1278,Bangalore,BITS Pilani,1st,AI,College Collaboration
LD1279,Chandigarh,Shiv Nadar University,2nd,Cyber Security,LinkedIn
LD1280,Vadodara,Bharati Vidyapeeth,1st,Cyber Security,Google Form
LD1281,Hyderabad,NIT Warangal,4th,AI,Mass-Mailing
LD1282,Nagpur,NIT Trichy,2nd,AI,Referral
LD1283,Ahmedabad,Jamia Millia Islamia,2nd,Cloud Computing,Instagram
LD1284,Chennai,VIT Vellore,4th,Cyber Security,Google Form
LD1285,Surat,SRM University,3rd,AI,WhatsApp
LD1286,Indore,BITS Pilani,2nd,Robotics,Mass-Mailing
LD1287,Chennai,IIT Bombay,2nd,Machine Learning,College Collaboration
LD1288,Mumbai,IIT Delhi,4th,Robotics,LinkedIn
LD1289,Hyderabad,ABC Institute,1st,Cloud Computing,Mass-Mailing
LD1290,Ahmedabad,NIT Warangal,3rd,Robotics,Mass-Mailing
LD1291,Trivandrum,NIT Warangal,1st,Cloud Computing,LinkedIn
LD1292,Hyderabad,IIT Bombay,1st,Cyber Security,Mass-Mailing
LD1293,Trivandrum,SP College,3rd,Cloud Computing,Instagram
LD1294,Lucknow,Jadavpur University,4th,Electric Vehicle,Email
LD1295,Ahmedabad,Shivaji University,4th,Cloud Computing,Referral
LD1296,Vadodara,Jamia Millia Islamia,4th,Electric Vehicle,LinkedIn
LD1297,Kolkata,Jadavpur University,3rd,AI,Facebook
LD1298,Ahmedabad,VIT Vellore,2nd,Cyber Security,Referral
LD1299,Trivandrum,NIT Trichy,3rd,Cloud Computing,Email
LD1300,Nagpur,BITS Pilani,1st,Cloud Computing,Facebook
LD1301,Patna,Bharati Vidyapeeth,3rd,AI,Facebook
LD1302,Bhopal,Jadavpur University,3rd,Electric Vehicle,Facebook
LD1303,Pune,XYZ University,1st,Cloud Computing,Google Form
LD1304,Visakhapatnam,Manipal University,4th,Robotics,Facebook
LD1305,Delhi,NIT Warangal,4th,Electric Vehicle,Facebook
LD1306,Kolkata,Bharati Vidyapeeth,2nd,Cyber Security,College Collaboration
LD1307,Kolkata,MIT Pune,4th,Robotics,Facebook
LD1308,Ahmedabad,SRM University,4th,Robotics,Instagram
LD1309,Indore,BITS Pilani,2nd,Electric Vehicle,Email
LD1310,Chandigarh,Manipal University,2nd,Electric Vehicle,Email
LD1311,Visakhapatnam,NIT Trichy,4th,Machine Learning,WhatsApp
LD1312,Jaipur,Shivaji University,3rd,Electric Vehicle,Mass-Mailing
LD1313,Pune,IISc Bangalore,2nd,Electric Vehicle,Referral
LD1314,Kolkata,XYZ University,1st,Electric Vehicle,College Collaboration
LD1315,Bhopal,Jadavpur University,3rd,Data Science,Email
